"(Intercept)","Warengruppe2","Warengruppe3","Warengruppe4","Warengruppe5","Warengruppe6","KielerWocheTRUE","Temperatur","Windgeschwindigkeit","IsFerienTRUE","IsFeiertagTRUE","WochentagDonnerstag","WochentagFreitag","WochentagMittwoch","WochentagMontag","WochentagSamstag","WochentagSonntag"
1,0,0,0,0,0,0,26.1625,10,1,0,0,0,0,0,1,0
1,0,0,0,0,0,0,24.8875,13,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,22.7875,10,1,0,0,0,0,1,0,0
1,0,0,0,0,0,0,21.075,13,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,20.275,16,1,0,0,0,1,0,0,0
1,0,0,0,0,0,0,23.4,7,1,0,1,0,0,0,0,0
1,0,0,0,0,0,0,31.4375,7,1,0,0,1,0,0,0,0
1,0,0,0,0,0,0,23.3625,11,1,0,0,0,0,0,1,0
1,0,0,0,0,0,0,23.05,8,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,25.8,10,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,22.225,13,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,19.2125,8,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,16.975,12,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,20.3375,10,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,19.3625,12,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,16.3875,9,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,16.45,11,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,16.4,16,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,18.2625,18,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,19.8,8,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,23.575,11,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,20.55,7,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,18.5875,10,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,18.4875,8,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,17.775,8,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,20.125,8,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,21.6625,8,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,22.0375,14,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,20.85,16,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,21.3875,16,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,20.125,15,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,21.0875,12,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,21.3,7,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,20.2125,11,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,19.7875,8,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,18.35,16,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,15.8625,16,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,16.575,17,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,18.225,11,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,18.125,5,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,21.7,8,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,24.7,9,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,22.7625,7,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,20.1625,8,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,11.575,11,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,13.5875,11,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,13.9,8,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,16.1125,6,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,17.4375,5,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,17.625,10,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,14.8625,10,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,13.1375,13,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,13.1375,10,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,13.05,9,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,14.8375,11,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,13.525,6,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,15.35,9,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,17.1375,14,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,17.3125,14,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,15.7375,10,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,13.5375,7,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,12.9875,12,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,13.0125,8,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,13.1,8,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,14.175,12,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,12.825,14,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,12.9125,13,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,12.7,10,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,11.7625,12,0,1,1,0,0,0,0,0
1,0,0,0,0,0,0,11.2,8,1,0,0,1,0,0,0,0
1,0,0,0,0,0,0,15.575,8,1,0,0,0,0,0,1,0
1,0,0,0,0,0,0,15.25,6,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,16.275,7,1,0,0,0,0,1,0,0
1,0,0,0,0,0,0,15.1125,8,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,14.3125,10,1,0,0,0,1,0,0,0
1,0,0,0,0,0,0,10.975,6,1,0,1,0,0,0,0,0
1,0,0,0,0,0,0,13.8625,20,1,0,0,1,0,0,0,0
1,0,0,0,0,0,0,13.025,21,1,0,0,0,0,0,1,0
1,0,0,0,0,0,0,10.8625,5,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,12.525,6,1,0,0,0,0,1,0,0
1,0,0,0,0,0,0,10.6625,4,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,12.275,7,1,0,0,0,1,0,0,0
1,0,0,0,0,0,0,12,15,1,0,1,0,0,0,0,0
1,0,0,0,0,0,0,9.075,9,1,0,0,1,0,0,0,0
1,0,0,0,0,0,0,9.45,9,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,15.1875,8,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,14.2625,8,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,17.6375,7,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,17.675,9,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,12.6875,12,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,11.8875,7,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,16.775,10,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,14.9875,16,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,14.3625,29,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,10.775,17,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,10.4375,10,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,11.1625,13,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,10.625,9,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,8.8875,3,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,10.7,15,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,6.8375,7,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,8.9,12,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,8.1375,12,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,9.5,10,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,9.325,9,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,7.7,16,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,6.9875,12,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,8.3125,5,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,5.9375,9,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,8.8,12,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,6.9375,9,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,6.45,6,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,8.875,12,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,8.8875,8,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,6.65,5,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,5.8375,8,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,3.85,6,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,3.275,8,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,5.375,10,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,4.9125,6,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,4.6,16,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,3.7,10,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,2.3125,6,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,7.3125,12,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,8.025,18,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,5.9875,11,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,5.525,10,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,8.6625,20,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,3.0625,4,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,1.7125,6,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,5.85,11,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,4.4625,24,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,1.7875,25,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,1,11,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,6.975,16,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,9.2375,10,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,7.1875,8,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,5.025,9,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,2.525,8,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,3.5375,6,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,3.0125,7,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,7.925,12,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,8.775,12,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,4.95,8,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,6.85,8,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,7.4,10,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,5.2875,10,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,6.5625,13,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,8.1375,12,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,5.4875,10,1,0,0,0,0,1,0,0
1,0,0,0,0,0,0,11.4375,18,1,1,0,0,0,0,0,0
1,0,0,0,0,0,0,5.7625,15,1,0,0,1,0,0,0,0
1,0,0,0,0,0,0,5.7125,9,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,4.75,11,1,0,0,0,0,1,0,0
1,0,0,0,0,0,0,5.0375,7,1,1,0,0,0,0,0,0
1,0,0,0,0,0,0,6.25,9,1,0,1,0,0,0,0,0
1,0,0,0,0,0,0,6.8375,10,1,0,0,1,0,0,0,0
1,0,0,0,0,0,0,6.9375,11,1,0,0,0,0,0,1,0
1,0,0,0,0,0,0,6.1875,11,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,7.9125,11,1,0,0,0,0,1,0,0
1,0,0,0,0,0,0,10.4375,13,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,8.6375,15,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,9.6125,16,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,6.6375,17,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,5.5875,18,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,5.525,16,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,3.1375,10,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,4.225,6,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,3.228571,7,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,2.7375,9,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,6.7375,4,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,5.8875,8,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,2.8625,19,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0.3875,13,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,-0.65,7,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-3.1125,14,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,-3.1875,11,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,-5.1625,13,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,-7.0375,8,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,-8.475,10,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0.7,9,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,-0.2625,10,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-5.05,13,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,-4.4875,8,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,-3.6875,7,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,3.225,10,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,5.4875,8,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,3.475,8,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,3.925,6,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,3.675,8,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,7.875,11,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,8.475,15,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,6.2875,12,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,6.7125,15,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,6.6375,9,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,4.925,12,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,6.1,13,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,7.45,13,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,5.2125,9,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,11.5,15,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,6.0625,17,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,6.6875,9,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,7.8,8,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,6.325,8,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,9.1,11,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,7.5125,11,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,5.925,11,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,8.625,12,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,9.4125,11,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,10.475,7,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,10.1875,8,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,8.8875,7,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,6.1875,6,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,5.075,9,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,6.5625,9,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,9.1875,10,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,6.6875,7,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,4.6875,7,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,8.925,9,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,11.275,10,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,9.9375,6,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,16.4,9,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,15.8,9,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,7.85,9,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,10.2125,8,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,13.375,10,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,9.6125,10,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,9.0375,27,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,9.3375,24,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,9.5875,18,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,9.6875,16,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,9.45,18,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,16.2625,13,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,6.8875,14,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,8.85,11,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,8.3625,10,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,7.5625,7,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,7.725,10,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,7.85,11,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,5.1,12,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,5.4,12,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,9.375,8,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,11.2625,8,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,7.4375,4,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,5.7625,13,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,12.45,8,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,7.6125,15,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,6.45,15,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,9.825,5,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,12.1875,8,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,15.7875,10,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,9.8125,19,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,10.1875,20,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,9.75,4,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,12.0625,10,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,11.2,12,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,11.0125,21,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,8.9,23,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,9.9125,15,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,11.3625,9,1,0,0,0,1,0,0,0
1,0,0,0,0,0,0,14.4,14,1,0,1,0,0,0,0,0
1,0,0,0,0,0,0,11.125,13,1,0,0,0,0,0,1,0
1,0,0,0,0,0,0,13.875,15,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,13.425,15,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,15.45,10,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,9.825,11,1,0,0,0,1,0,0,0
1,0,0,0,0,0,0,9.175,11,1,0,1,0,0,0,0,0
1,0,0,0,0,0,0,13.5625,12,1,0,0,1,0,0,0,0
1,0,0,0,0,0,0,15.45,11,1,0,0,0,0,0,1,0
1,0,0,0,0,0,0,16.225,16,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,15.8875,11,1,0,0,0,0,1,0,0
1,0,0,0,0,0,0,18.0875,8,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,18,8,1,0,0,0,1,0,0,0
1,0,0,0,0,0,0,10.225,13,1,0,0,1,0,0,0,0
1,0,0,0,0,0,0,10.7125,6,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,15.775,9,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,14.2125,15,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,12.45,10,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,12.3875,10,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,13.275,12,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,11.5625,12,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,12.7,14,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,11.5625,15,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,11.5625,16,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,13.7875,8,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,13.8875,9,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,16.625,8,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,16.5125,13,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,13.7625,8,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,20.725,12,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,26.8625,8,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,26.375,8,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,18.0125,12,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,17.9625,8,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,20.4625,11,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,19.9625,13,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,12.8875,21,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,10.2,22,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,12.7,14,0,1,1,0,0,0,0,0
1,0,0,0,0,0,0,17.9625,13,1,0,0,1,0,0,0,0
1,0,0,0,0,0,0,15.9125,15,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,13.825,6,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,17.625,9,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,20,9,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,21.4875,14,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,15.0375,18,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,19.3125,12,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,17.9625,8,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,22.1,12,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,20.6625,10,0,1,0,0,0,1,0,0
1,0,0,0,0,0,0,25.7875,9,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,20.5,8,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,19.55,12,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,17.45,18,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,18.9125,13,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,19.275,8,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,18.3125,10,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,20.375,7,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,19.3,13,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,15.2875,19,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,15.9875,16,0,0,0,1,0,0,0,0
1,0,0,0,0,0,1,15.5125,18,0,0,0,0,0,0,1,0
1,0,0,0,0,0,1,15.7,19,0,0,0,0,0,0,0,1
1,0,0,0,0,0,1,16.5,17,0,0,0,0,0,1,0,0
1,0,0,0,0,0,1,14.3625,7,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,18.4375,10,0,0,0,0,1,0,0,0
1,0,0,0,0,0,1,17.575,8,0,0,1,0,0,0,0,0
1,0,0,0,0,0,1,20.1625,7,0,0,0,1,0,0,0,0
1,0,0,0,0,0,1,16.9625,6,0,0,0,0,0,0,1,0
1,0,0,0,0,0,1,17.3125,8,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,18.3375,12,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,15.6875,14,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,17.1125,15,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,20.4,9,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,26.9375,10,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,24.5875,10,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,25.2375,6,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,20.8,10,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,19.6,15,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,24.65,24,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,24.757142,18,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,22.9375,18,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,20.375,12,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,18.6,10,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,19.45,15,1,0,0,0,0,1,0,0
1,0,0,0,0,0,0,22.2625,9,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,19.4125,7,1,0,0,0,1,0,0,0
1,0,0,0,0,0,0,22.7625,7,1,0,1,0,0,0,0,0
