Datum,Warengruppe,Umsatz,KielerWoche,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,IsFerien,IsFeiertag,Produktname,Niederschlag
2015-10-20,3,174.702791385283,0,7,10.25,8,20,1,0,Croissant,NA
2017-01-08,4,204.632350244358,0,8,2.25,4,10,0,0,Konditorei,NA
2017-12-13,4,69.1482504619048,0,7,1.9875,12,69,0,0,Konditorei,NA
2017-09-13,1,103.419606846606,0,7,13.3375,20,63,0,0,Brot,Regen
2016-02-27,5,256.025961748608,0,4,1.5,5,45,0,0,Kuchen,NA
2015-12-17,5,189.603239938994,0,7,11.875,9,53,0,0,Kuchen,Sprühregen
2015-01-06,3,125.356639510072,0,8,3.625,8,10,1,0,Croissant,NA
2019-03-07,4,71.664343742491,0,6,9.65,19,61,NA,0,Konditorei,Regen
2014-03-03,2,340.843721805049,0,0,9.1875,10,5,0,0,Broetchen,NA
2018-10-27,4,92.2527769388784,0,7,5.8375,13,63,0,0,Konditorei,Regen
2018-09-07,5,326.848504364764,0,7,17.475,12,61,0,0,Kuchen,Regen
2016-09-25,2,467.862772221578,0,0,21.375,8,NA,0,0,Broetchen,NA
2014-10-05,2,773.738416673644,0,1,16.25,7,NA,0,0,Broetchen,NA
2016-07-11,3,179.278876112019,0,6,20,13,21,0,0,Croissant,NA
2018-10-21,1,66.6059399450434,0,NA,NA,NA,NA,0,0,Brot,NA
2019-02-13,1,103.245962081149,0,8,7.5375,13,20,NA,0,Brot,NA
2016-09-19,4,71.303734470392,0,7,17,9,NA,0,0,Konditorei,NA
2018-03-14,1,142.741299070527,0,8,3.2,8,21,0,0,Brot,NA
2017-09-13,4,99.1512886820295,0,7,13.3375,20,63,0,0,Konditorei,Regen
2013-10-02,5,322.880300414914,0,1,12.7,10,NA,0,0,Kuchen,NA
2018-03-19,4,96.1022154960397,0,0,2.3,8,5,0,0,Konditorei,NA
2014-02-06,4,140.050350415932,0,7,7.875,11,20,0,0,Konditorei,NA
2017-04-26,5,217.400706247577,0,6,7.625,7,61,0,0,Kuchen,Regen
2015-09-12,5,291.384483107582,0,5,18.5,8,NA,0,0,Kuchen,NA
2019-04-10,5,258.722178820959,0,0,6.275,14,5,NA,0,Kuchen,NA
2018-07-17,3,322.440260775893,0,0,26.775,10,NA,1,0,Croissant,NA
2016-07-24,2,642.671545332675,0,0,25.25,10,NA,0,0,Broetchen,NA
2016-03-18,1,107.770107847376,0,8,5.375,9,21,0,0,Brot,NA
2017-07-24,2,579.28803115614,0,7,18.75,10,21,1,0,Broetchen,NA
2013-10-16,3,143.148086490441,0,8,12.275,7,NA,1,0,Croissant,NA
2016-04-08,3,120.523884707092,0,6,9,9,63,1,0,Croissant,Regen
2018-09-05,1,123.290387701397,0,2,20.2875,11,0,0,0,Brot,NA
2015-03-24,4,56.0889149961493,0,6,7.875,6,0,0,0,Konditorei,NA
2014-09-21,2,602.711358590014,0,4,17,15,21,0,0,Broetchen,NA
2016-02-23,5,161.605017964107,0,4,6.125,17,61,0,0,Kuchen,Regen
2014-10-13,1,129.878383258938,0,7,12.625,12,63,1,0,Brot,Regen
2016-06-11,4,55.4792680331453,0,0,17.375,12,NA,0,0,Konditorei,NA
2017-06-24,5,448.004437068748,1,6,17.875,19,61,0,0,Kuchen,Regen
2016-11-20,5,244.917742885889,0,6,6.375,12,63,0,0,Kuchen,Regen
2016-03-11,1,147.967084273896,0,8,3.5,11,NA,0,0,Brot,NA
2013-07-26,1,147.272084366206,0,3,27.2625,6,NA,1,0,Brot,NA
2018-08-16,3,317.450986817885,0,3,25.075,9,0,1,0,Croissant,NA
2014-10-05,5,278.213851451937,0,1,16.25,7,NA,0,0,Kuchen,NA
2018-07-15,1,119.132803761786,0,2,23.2,9,5,1,0,Brot,NA
2018-06-13,5,311.402992365135,0,7,16.4,14,61,0,0,Kuchen,Regen
2018-11-29,6,88.8452277277198,0,7,3.3,10,61,0,0,Saisonbrot,Regen
2017-08-03,5,284.067056413653,0,7,20.125,10,95,1,0,Kuchen,Gewitter
2016-01-29,1,91.0082856635981,0,7,8.125,17,61,0,0,Brot,Regen
2018-01-03,5,234.246543565331,0,7,6.475,11,61,1,0,Kuchen,Regen
2014-11-06,6,44.904409068341,0,5,8.875,10,0,0,0,Saisonbrot,NA
2014-11-29,4,72.0348065153357,0,8,1,10,5,0,0,Konditorei,NA
2013-09-25,3,133.455357081465,0,6,13.5375,7,61,0,0,Croissant,Regen
2017-10-05,5,157.712941182534,0,NA,NA,NA,NA,0,0,Kuchen,NA
2015-03-28,1,177.270608855771,0,7,8.5,10,NA,0,0,Brot,NA
2018-05-24,3,211.514459288962,0,0,20.35,15,5,0,0,Croissant,NA
2014-04-14,1,126.41212420811,0,5,8.9,23,61,0,0,Brot,Regen
2015-02-27,1,101.514216092369,0,7,4.5,9,61,0,0,Brot,Regen
2014-02-21,2,304.683845985775,0,7,7.5125,11,61,0,0,Broetchen,Regen
2015-05-25,2,621.867778874006,0,7,11.75,10,61,0,1,Broetchen,Regen
2015-07-30,5,320.141775558388,0,7,14,16,61,1,0,Kuchen,Regen
2013-08-16,1,147.79799759804,0,4,23.575,11,0,0,0,Brot,NA
2017-10-18,2,291.300108482409,0,4,14.8125,6,0,1,0,Broetchen,NA
2017-06-30,4,69.1769825237336,0,7,14.875,11,63,0,0,Konditorei,Regen
2017-06-17,4,72.512643357311,1,0,20.125,15,0,0,0,Konditorei,NA
2013-07-09,3,245.808338509722,0,0,23.275,8,NA,1,0,Croissant,NA
2016-12-27,4,47.0674315395429,0,6,8.25,21,NA,1,0,Konditorei,NA
2018-06-04,5,255.7161632198,0,5,19.25,14,20,0,0,Kuchen,NA
2017-11-07,4,86.9727880092749,0,NA,6.7875,5,NA,0,0,Konditorei,NA
2016-02-21,5,429.951884660272,0,7,6.875,12,61,0,0,Kuchen,Regen
2018-07-08,2,593.024525346138,0,0,23,10,5,0,0,Broetchen,NA
2017-04-08,3,215.929338577534,0,7,10.875,12,NA,1,0,Croissant,NA
2019-03-10,3,340.858614299599,0,6,6.8875,10,21,NA,0,Croissant,NA
2015-11-10,4,65.0436140133193,0,7,15,18,61,0,0,Konditorei,Regen
2015-12-21,5,178.007867853303,0,7,10.25,14,21,1,0,Kuchen,NA
2015-12-17,1,103.843516197661,0,7,11.875,9,53,0,0,Brot,Sprühregen
2017-10-15,4,110.59613031501,0,2,17.8125,5,28,0,0,Konditorei,NA
2017-06-05,3,300.22343502337,0,1,20.125,9,0,0,1,Croissant,NA
2015-03-29,3,140.02511297781,0,7,8.25,12,61,0,0,Croissant,Regen
2019-05-13,4,74.7149266749369,0,1,12.7125,11,5,NA,0,Konditorei,NA
2018-12-12,5,190.153573552686,0,7,4.175,12,21,0,0,Kuchen,NA
2018-02-25,4,101.878885897188,0,7,-2.9625,14,71,0,0,Konditorei,Schnee
2017-02-10,4,68.707358861519,0,7,-1.75,16,10,0,0,Konditorei,NA
2016-08-03,4,125.29913310079,0,7,19.375,9,61,1,0,Konditorei,Regen
2015-05-19,4,60.9239625788419,0,6,10.125,11,63,0,0,Konditorei,Regen
2013-09-07,1,186.034060963767,0,6,22.7625,7,NA,0,0,Brot,NA
2018-02-18,2,383.210370812999,0,5,4.375,8,0,0,0,Broetchen,NA
2014-10-15,2,512.13078238518,0,7,13.875,6,21,1,0,Broetchen,NA
2017-09-25,3,158.524062603881,0,6,16.225,15,21,0,0,Croissant,NA
2018-06-02,5,340.519101625788,0,1,22.8875,10,5,0,0,Kuchen,NA
2015-11-13,2,264.15177278786,0,4,11.75,19,21,0,0,Broetchen,NA
2017-12-24,5,199.910108801589,0,7,8.1125,16,61,1,0,Kuchen,Regen
2014-02-15,4,198.394939954409,0,5,11.5,15,NA,0,0,Konditorei,NA
2014-10-20,2,384.841833056267,0,6,14.625,18,61,1,0,Broetchen,Regen
2014-03-04,5,249.829686460274,0,7,6.6875,7,10,0,0,Kuchen,NA
2015-07-03,1,144.951813259044,0,1,25.625,10,NA,0,0,Brot,NA
2015-03-05,3,117.287155134629,0,7,6.625,14,NA,0,0,Croissant,NA
2016-08-22,2,503.322164342482,0,7,18.375,10,65,1,0,Broetchen,Regen
2017-02-03,1,78.3684128353329,0,7,1.625,6,45,0,0,Brot,NA
2014-06-22,5,399.756375802425,1,5,15.7,19,NA,0,0,Kuchen,NA
2013-11-16,6,72.2449528103848,0,8,8.875,12,NA,0,0,Saisonbrot,NA
2015-12-17,6,86.5381832594966,0,7,11.875,9,53,0,0,Saisonbrot,Sprühregen
2017-04-10,5,280.038959302124,0,7,9.5,19,21,1,0,Kuchen,NA
2014-06-15,5,351.284208007361,0,0,19.275,8,NA,0,0,Kuchen,NA
2015-04-05,3,243.89821522098,0,3,8.625,11,NA,1,1,Croissant,NA
2017-12-05,3,85.3672468067668,0,7,8.65,17,21,0,0,Croissant,NA
2015-11-03,2,227.368950308808,0,7,5.125,4,45,0,0,Broetchen,NA
2017-11-14,2,241.340042607729,0,7,6.3875,11,61,0,0,Broetchen,Regen
2016-02-12,5,248.745906434891,0,7,3.5,6,61,0,0,Kuchen,Regen
2013-11-17,5,434.514684349967,0,2,8.8875,8,0,0,0,Kuchen,NA
2018-11-13,5,214.742732988873,0,7,10.325,9,61,0,0,Kuchen,Regen
2017-01-31,5,213.403139400616,0,7,3.125,15,10,0,0,Kuchen,NA
2018-12-28,1,151.41162672486,0,7,7.3125,11,61,1,0,Brot,Regen
2013-12-22,5,236.081350951816,0,7,8.1375,12,61,0,0,Kuchen,Regen
2017-04-28,4,93.814442811662,0,7,8.625,10,61,0,0,Konditorei,Regen
2013-09-23,2,339.417738661045,0,7,17.3125,14,21,0,0,Broetchen,NA
2013-12-14,6,99.8155116392742,0,7,3.0125,7,61,0,0,Saisonbrot,Regen
2015-01-18,2,615.895161452642,0,8,2,9,61,0,0,Broetchen,Regen
2017-03-17,4,90.533610402315,0,6,6.75,18,63,0,0,Konditorei,Regen
2017-09-19,2,350.796085891856,0,5,14.3875,8,65,0,0,Broetchen,Regen
2014-01-26,4,201.191517525166,0,1,-8.475,10,10,0,0,Konditorei,NA
2018-11-17,4,101.150650586153,0,0,5.375,10,10,0,0,Konditorei,NA
2019-04-02,3,118.83372746968,0,0,11.685714,10,5,NA,0,Croissant,NA
2019-04-14,4,86.6985910832683,0,7,5.9375,16,61,NA,0,Konditorei,Regen
2016-01-28,1,124.556569599892,0,5,6.75,16,21,0,0,Brot,NA
2019-01-09,1,117.871483876398,0,7,3.1375,22,0,NA,0,Brot,NA
2013-10-10,4,70.9668372971161,0,5,10.975,6,NA,1,0,Konditorei,NA
2014-11-20,2,281.963424468143,0,5,6.125,7,0,0,0,Broetchen,NA
2018-11-04,5,256.437279861067,0,8,8.225,5,10,0,0,Kuchen,NA
2018-09-17,3,164.027867386733,0,NA,NA,NA,NA,0,0,Croissant,NA
2017-05-15,1,152.569401591519,0,3,17.375,9,0,0,0,Brot,NA
2015-06-24,3,179.618053020787,1,8,12.625,14,61,0,0,Croissant,Regen
2014-09-14,4,61.6496610362342,0,7,17.625,14,61,0,0,Konditorei,Regen
2016-06-15,2,279.035829075679,0,6,18.25,8,95,0,0,Broetchen,Gewitter
2016-06-04,1,129.472695112237,0,0,24.5,7,NA,0,0,Brot,NA
2015-04-20,4,78.2371204197756,0,0,14.25,9,NA,0,0,Konditorei,NA
2016-12-16,6,83.1967350210813,0,8,-1,5,10,0,0,Saisonbrot,NA
2017-07-06,5,261.128792847111,0,0,18.375,8,NA,0,0,Kuchen,NA
2019-03-18,4,65.816359797204,0,5,6.325,21,61,NA,0,Konditorei,Regen
2014-06-26,2,583.733870024269,1,6,17.575,8,63,0,0,Broetchen,Regen
2017-11-20,3,99.3335812642129,0,6,5.9625,6,NA,0,0,Croissant,NA
2015-03-14,4,74.0860398307729,0,7,5.125,15,NA,0,0,Konditorei,NA
2018-11-22,6,88.9727188853646,0,8,1.5125,9,21,0,0,Saisonbrot,NA
2014-06-24,5,293.582453806941,1,7,14.3625,7,21,0,0,Kuchen,NA
2013-11-01,6,48.6054000047875,0,8,10.625,9,63,0,0,Saisonbrot,Regen
2015-01-02,6,31.6443089201977,0,6,7.75,24,61,1,0,Saisonbrot,Regen
2015-12-23,6,87.2029904433664,0,6,10.375,20,61,1,0,Saisonbrot,Regen
2013-08-31,1,130.821314898435,0,5,18.35,16,21,0,0,Brot,NA
2018-09-06,2,442.562221911192,0,0,21.275,11,0,0,0,Broetchen,NA
2017-12-23,6,84.062222651182,0,7,7.8,19,61,1,0,Saisonbrot,Regen
2017-11-23,1,86.6235738346552,0,7,12.225,16,61,0,0,Brot,Regen
2018-12-22,2,372.353857942661,0,8,4.3,4,NA,1,0,Broetchen,NA
2014-01-29,4,76.2200829273755,0,7,-5.05,13,77,0,0,Konditorei,Schnee
2017-11-09,6,44.7824094184877,0,6,8.55,9,10,0,0,Saisonbrot,NA
2016-12-08,5,169.625279584177,0,8,8.625,12,10,0,0,Kuchen,NA
2017-11-16,6,28.0112147888418,0,8,8.8125,8,61,0,0,Saisonbrot,Regen
2015-09-11,5,313.184481077626,0,7,15,12,61,0,0,Kuchen,Regen
2018-01-29,3,82.9125750766826,0,7,7.55,21,63,0,0,Croissant,Regen
2019-03-28,3,150.888108151105,0,8,10.7,9,NA,NA,0,Croissant,NA
2015-05-07,2,309.311901434242,0,6,12,16,21,0,0,Broetchen,NA
2019-02-25,5,249.71176019635,0,0,9.8125,9,21,NA,0,Kuchen,NA
2016-03-02,4,74.8849594920968,0,7,5,16,63,0,0,Konditorei,Regen
2018-09-05,2,359.457872524901,0,2,20.2875,11,0,0,0,Broetchen,NA
2018-08-20,2,436.053942161661,0,6,19.6,13,21,0,0,Broetchen,NA
2017-10-26,5,211.310572068957,0,5,13.475,12,NA,1,0,Kuchen,NA
2017-04-28,5,239.965767752371,0,7,8.625,10,61,0,0,Kuchen,Regen
2017-08-29,1,140.114833354281,0,0,24.6,9,NA,1,0,Brot,NA
2015-12-02,4,67.7569881327549,0,7,10.5,9,21,0,0,Konditorei,NA
2016-12-15,2,249.859463715467,0,7,0,8,49,0,0,Broetchen,NA
2017-06-25,5,305.520160355371,1,7,17.25,16,20,0,0,Kuchen,NA
2015-05-05,2,295.928590213682,0,4,20,15,95,0,0,Broetchen,Gewitter
2014-02-18,3,100.927275343868,0,7,7.8,8,10,0,0,Croissant,NA
2015-08-06,3,298.46095836567,0,1,27.625,6,NA,1,0,Croissant,NA
2018-10-28,3,228.322319785304,0,2,5.5875,14,0,0,0,Croissant,NA
2018-12-30,3,237.271685703135,0,2,6.675,16,NA,NA,0,Croissant,NA
2015-02-13,3,106.163072731659,0,8,1.25,6,10,0,0,Croissant,NA
2013-07-28,2,871.802546455837,0,4,24.8875,13,61,1,0,Broetchen,Regen
2014-06-15,4,113.198169900375,0,0,19.275,8,NA,0,0,Konditorei,NA
2017-09-11,3,104.204339622872,0,3,17.8625,11,21,0,0,Croissant,NA
2017-01-08,2,352.056991405427,0,8,2.25,4,10,0,0,Broetchen,NA
2018-02-22,5,193.023042021481,0,7,1.1125,7,20,0,0,Kuchen,NA
2014-09-08,5,235.073802916373,0,4,17.375,12,21,0,0,Kuchen,NA
2017-02-23,1,83.2419409328517,0,7,4.375,22,63,0,0,Brot,Regen
2018-10-14,2,531.236858545652,0,NA,NA,NA,NA,1,0,Broetchen,NA
2013-09-23,3,115.173949077037,0,7,17.3125,14,21,0,0,Croissant,NA
2015-08-28,1,139.289247760728,0,2,19.625,11,20,1,0,Brot,NA
2019-01-02,2,437.761296336481,0,0,3.9125,20,0,NA,0,Broetchen,NA
2015-02-09,2,281.177822022831,0,7,6.875,13,61,0,0,Broetchen,Regen
2016-10-04,5,240.277045454432,0,5,13.25,16,NA,0,0,Kuchen,NA
2017-11-27,5,200.072289929706,0,7,4.5625,14,61,0,0,Kuchen,Regen
2016-12-31,3,158.239302804042,0,7,4.875,13,28,1,0,Croissant,NA
2019-06-03,2,265.935131761439,0,6,22.225,12,21,NA,0,Broetchen,NA
2017-08-16,3,223.342663387873,0,3,20.8625,8,0,1,0,Croissant,NA
2014-11-14,5,270.170738666878,0,7,10.75,10,10,0,0,Kuchen,NA
2018-05-05,1,127.687524931524,0,0,14.75,9,5,0,0,Brot,NA
2013-10-02,3,156.465804020451,0,1,12.7,10,NA,0,0,Croissant,NA
2018-11-01,3,122.904183002441,0,5,11.725,8,0,0,0,Croissant,NA
2014-11-06,3,146.243073140116,0,5,8.875,10,0,0,0,Croissant,NA
2013-12-20,3,91.3320661013639,0,7,5.2875,10,61,0,0,Croissant,Regen
2014-09-02,4,57.3142573687701,0,2,18.375,13,NA,0,0,Konditorei,NA
2019-05-12,5,317.290982051436,0,1,13.0125,16,5,NA,0,Kuchen,NA
2015-04-10,2,449.200853104077,0,1,14.125,8,5,1,0,Broetchen,NA
2015-10-15,1,137.955865633247,0,7,10.375,16,61,0,0,Brot,Regen
2013-12-09,3,104.226092074174,0,7,9.2375,10,45,0,0,Croissant,NA
2015-01-27,3,127.229895506694,0,2,4.875,13,NA,0,0,Croissant,NA
2016-03-06,2,424.997870111198,0,7,4.5,11,10,0,0,Broetchen,NA
2015-10-06,3,191.047872542633,0,7,14.875,14,10,0,0,Croissant,NA
2015-01-06,5,265.854860102674,0,8,3.625,8,10,1,0,Kuchen,NA
2014-09-29,2,383.189548824255,0,6,18.125,6,NA,0,0,Broetchen,NA
2014-03-13,4,86.3042676126607,0,0,13.375,10,NA,0,0,Konditorei,NA
2013-08-24,4,124.737464409769,0,0,20.85,16,5,0,0,Konditorei,NA
2015-08-27,3,189.080053057953,0,6,18.125,12,61,1,0,Croissant,Regen
2017-08-29,5,298.71183853668,0,0,24.6,9,NA,1,0,Kuchen,NA
2013-07-30,1,132.111640117897,0,5,21.075,13,21,1,0,Brot,NA
2018-11-27,5,196.501626869402,0,8,2.1625,3,NA,0,0,Kuchen,NA
2015-03-08,3,177.593434050659,0,0,14,12,NA,0,0,Croissant,NA
2016-09-06,1,95.8411144296674,0,2,21.75,6,NA,0,0,Brot,NA
2015-01-04,1,69.2618750164446,0,0,4.75,15,NA,1,0,Brot,NA
2017-01-16,5,209.248418962616,0,0,0.25,9,0,0,0,Kuchen,NA
2016-03-01,4,93.4974094031413,0,5,2.25,8,NA,0,0,Konditorei,NA
2016-02-12,2,240.946116831232,0,7,3.5,6,61,0,0,Broetchen,Regen
2015-12-12,5,263.371183180296,0,3,6.875,10,61,0,0,Kuchen,Regen
2016-05-06,3,223.695167377294,0,0,19,14,NA,1,0,Croissant,NA
2018-05-12,4,94.1739600656155,0,5,17.3375,10,0,0,0,Konditorei,NA
2016-02-05,3,80.809542590926,0,7,4.5,10,61,0,0,Croissant,Regen
2018-11-12,3,73.0991635781065,0,7,10.5375,4,61,0,0,Croissant,Regen
2017-06-28,4,97.0032376307129,0,6,19.75,18,NA,0,0,Konditorei,NA
2014-11-16,3,201.424733292503,0,7,8,14,61,0,0,Croissant,Regen
2017-06-08,4,73.5704897538955,0,7,14.875,8,61,0,0,Konditorei,Regen
2017-05-24,2,321.683000444292,0,3,17.125,18,0,0,0,Broetchen,NA
2018-09-09,4,89.5574795926243,0,NA,NA,NA,NA,0,0,Konditorei,NA
2014-05-16,4,85.4807679768228,0,5,13.8875,9,NA,0,0,Konditorei,NA
2017-03-27,1,162.660207279858,0,0,12.5,11,10,0,0,Brot,NA
2019-05-22,5,297.818303332661,0,6,12.1,15,61,NA,0,Kuchen,Regen
2017-03-19,2,381.163708694666,0,8,3.875,9,79,0,0,Broetchen,Schnee
2015-09-16,3,139.313497563127,0,7,15.25,6,61,0,0,Croissant,Regen
2018-04-05,1,97.8634527844016,0,7,8.6625,19,61,1,0,Brot,Regen
2013-12-15,6,114.662454089235,0,8,7.925,12,61,0,0,Saisonbrot,Regen
2013-10-18,3,154.060413787211,0,1,9.075,9,NA,1,0,Croissant,NA
2015-11-28,4,150.585738123588,0,2,6.125,11,61,0,0,Konditorei,Regen
2016-04-02,2,436.278040312197,0,3,12.75,8,NA,1,0,Broetchen,NA
2016-12-14,6,74.2674362412923,0,7,4.625,6,45,0,0,Saisonbrot,NA
2013-11-11,1,124.580485617569,0,2,8.3125,5,NA,0,0,Brot,NA
2018-08-17,1,183.61826622021,0,7,19.55,9,61,1,0,Brot,Regen
2017-11-18,6,32.3629845181168,0,5,5.35,12,65,0,0,Saisonbrot,Regen
2018-01-18,3,72.2532702611568,0,7,1.1625,17,73,0,0,Croissant,Schnee
2016-05-22,3,194.032210815487,0,1,25,9,NA,0,0,Croissant,NA
2015-06-17,4,86.403424601373,0,7,16.5,9,61,0,0,Konditorei,Regen
2016-05-09,5,274.784906816565,0,0,19.875,12,NA,0,0,Kuchen,NA
2016-10-28,1,125.569231616337,0,6,12.75,15,21,1,0,Brot,NA
2018-11-04,3,232.862792166834,0,8,8.225,5,10,0,0,Croissant,NA
2015-06-05,1,90.8260563665041,0,0,22.625,9,NA,0,0,Brot,NA
2015-01-24,5,376.785950449622,0,7,-0.5,10,71,0,0,Kuchen,Schnee
2016-10-01,5,241.948734757705,0,3,15.875,6,NA,0,0,Kuchen,NA
2015-01-12,2,254.720970873776,0,7,7.5,19,61,0,0,Broetchen,Regen
2018-04-22,2,415.886839438665,0,1,14.525,11,5,0,0,Broetchen,NA
2015-07-17,1,59.6756480447039,0,4,23.25,12,21,0,0,Brot,NA
2017-08-07,2,533.297032767377,0,2,22.4875,8,NA,1,0,Broetchen,NA
2014-03-12,1,91.0474158512995,0,0,10.2125,8,0,0,0,Brot,NA
2016-08-27,4,78.9703185036615,0,0,20.375,8,NA,1,0,Konditorei,NA
2015-10-28,3,125.686864454041,0,1,11.25,10,5,1,0,Croissant,NA
2016-08-09,4,84.6457978181583,0,5,15.375,18,21,1,0,Konditorei,NA
2018-05-03,1,123.975160122456,0,1,12.5,14,0,0,0,Brot,NA
2013-10-07,3,146.80201055568,0,1,16.275,7,NA,1,0,Croissant,NA
2015-12-04,6,63.2383253536173,0,6,9.25,17,61,0,0,Saisonbrot,Regen
2014-10-31,1,132.486279254048,0,8,12.875,5,10,0,1,Brot,NA
2016-05-18,2,374.186876677991,0,5,16.75,7,NA,0,0,Broetchen,NA
2015-03-26,2,303.655812393538,0,7,7.125,9,0,0,0,Broetchen,NA
2016-10-06,1,136.945957744399,0,7,11.25,17,20,0,0,Brot,NA
2016-03-10,1,144.670919387674,0,8,4.375,11,10,0,0,Brot,NA
2013-07-15,1,161.264677322182,0,6,18.7375,12,NA,1,0,Brot,NA
2018-08-14,1,190.85246872832101,0,5,21.8,16,61,1,0,Brot,Regen
2016-11-28,2,250.19685466648,0,1,2.875,11,NA,0,0,Broetchen,NA
2015-03-02,2,254.485164508834,0,6,5.125,23,61,0,0,Broetchen,Regen
2019-03-18,5,276.261061509361,0,5,6.325,21,61,NA,0,Kuchen,Regen
2019-04-07,2,467.218901835748,0,0,12.8375,8,5,NA,0,Broetchen,NA
2015-04-11,4,75.5562497228574,0,2,16.75,14,61,1,0,Konditorei,Regen
2016-03-04,1,100.459635238409,0,2,3.875,9,10,0,0,Brot,NA
2016-03-21,5,279.296769510573,0,7,7.5,19,61,0,0,Kuchen,Regen
2015-05-11,4,61.3151869370572,0,0,19.75,11,NA,0,0,Konditorei,NA
2018-02-26,2,228.550422356372,0,5,-1.5375,18,NA,0,0,Broetchen,NA
2018-12-19,6,65.8194936908997,0,7,3.175,9,61,0,0,Saisonbrot,Regen
2016-01-29,3,77.2674236690111,0,7,8.125,17,61,0,0,Croissant,Regen
2014-10-29,2,411.213305357583,0,7,8.375,7,20,0,0,Broetchen,NA
2018-07-16,2,577.869076971806,0,0,24.25,9,5,1,0,Broetchen,NA
2015-09-27,4,111.59297636216,0,1,15.25,8,NA,0,0,Konditorei,NA
2016-01-28,4,37.4060506108956,0,5,6.75,16,21,0,0,Konditorei,NA
2016-06-14,3,100.912492228875,0,7,16.5,8,61,0,0,Croissant,Regen
2015-02-15,5,360.747312180387,0,7,3.125,16,10,0,0,Kuchen,NA
2014-08-19,1,157.516513226105,0,6,14.0875,12,61,1,0,Brot,Regen
2019-02-16,3,218.568398698266,0,0,10.425,12,5,NA,0,Croissant,NA
2013-10-17,2,324.982641344802,0,7,12,15,65,1,0,Broetchen,Regen
2015-11-07,5,220.614308718135,0,7,14.625,9,61,0,0,Kuchen,Regen
2014-09-06,5,379.478163301917,0,2,24,5,NA,0,0,Kuchen,NA
2017-12-23,4,78.8723916371377,0,7,7.8,19,61,1,0,Konditorei,Regen
2016-10-17,1,120.547856066705,0,8,9.75,6,10,1,0,Brot,NA
2019-05-28,1,154.363980473,0,6,13.1625,12,NA,NA,0,Brot,NA
2019-05-06,5,208.462396560076,0,3,9.1625,18,61,NA,0,Kuchen,Regen
2017-01-09,2,238.253386603281,0,8,2.5,6,20,0,0,Broetchen,NA
2016-02-05,5,264.123167995632,0,7,4.5,10,61,0,0,Kuchen,Regen
2017-09-12,5,264.766259125866,0,5,16.1,12,21,0,0,Kuchen,NA
2017-08-18,3,222.037173809602,0,6,19.6625,7,0,1,0,Croissant,NA
2017-08-04,3,296.329975775803,0,6,19.625,18,21,1,0,Croissant,NA
2015-09-17,3,126.856599332132,0,6,18,12,61,0,0,Croissant,Regen
2013-10-12,1,140.262421715801,0,8,13.025,21,63,1,0,Brot,Regen
